number of people:1
point1.x,point1.y,  point3.x,point3.y,  point4.x,point4.y,  point5.x,point5.y,  point6.x,point6.y,  point8.x,point8.y,  point9.x,point9.y,  point10.x,point10.y,  point12.x,point12.y,  point13.x,point13.y,  point14.x,point14.y,  point16.x,point16.y,  point17.x,point17.y,  point18.x,point18.y,  point20.x,point20.y,  
260,244,244,117,192,209,151,282,82,247,308,206,345,288,390,248,243,331,186,383,76,474,296,325,334,370,456,509,253,186,
260,244,244,117,192,209,151,281,82,246,308,206,345,288,390,248,243,331,185,383,74,474,296,325,333,371,452,512,253,186,
259,244,244,116,192,209,152,281,89,244,307,206,344,287,382,247,243,331,184,383,73,474,296,325,332,372,449,517,253,186,
259,244,243,116,191,209,153,281,101,244,307,206,342,287,369,247,243,331,184,383,72,475,296,325,332,374,449,522,253,186,
259,244,243,116,191,209,156,282,117,244,306,205,340,286,355,248,243,331,184,384,72,477,296,325,332,375,449,527,252,186,
259,244,243,116,191,209,156,284,129,245,304,204,338,284,340,249,243,331,184,385,71,478,296,325,333,376,451,531,252,186,
259,244,243,116,191,208,158,285,144,245,302,203,336,284,323,252,243,332,182,386,67,480,296,325,333,376,451,532,252,186,
259,244,243,116,192,207,160,285,166,248,300,202,334,281,300,254,243,332,180,386,63,480,296,325,332,377,451,534,252,186,
259,244,243,115,193,206,165,285,188,250,300,202,331,279,286,257,243,331,179,387,59,481,296,325,332,377,452,536,252,186,
259,243,242,115,193,205,168,283,201,250,301,202,329,277,270,260,243,331,179,387,59,483,295,324,332,377,453,539,252,186,
259,243,242,115,193,203,170,282,204,250,301,202,328,276,260,261,243,330,178,389,58,486,295,324,332,378,454,543,252,185,
259,243,241,115,193,203,170,282,204,252,302,202,327,275,249,261,243,329,176,391,56,491,295,324,333,378,457,546,252,185,
259,243,241,114,193,203,169,282,202,253,302,202,326,274,247,260,243,329,174,393,53,495,295,324,333,379,458,548,252,185,
259,243,240,114,193,203,168,279,204,253,303,202,325,274,245,259,243,329,173,395,50,497,294,324,333,379,459,550,252,185,
258,243,239,114,193,203,168,282,198,254,303,202,325,274,244,259,243,329,171,396,47,499,294,324,333,379,459,551,251,185,
